artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
yaeow,The Way I Love You,The Way I Love You,3XV5r1cMB2AlD2ir0v6mfm,0.543,0.206,6,-18.037,1,0.0319,0.453,0.385,0.13,113.107,162727,3,warm_fuzzy_feeling
Heather Janssen,Dancing When I Die,Dancing When I Die,6epGSSmdGkjcBmLDKXLbMl,0.448,0.173,10,-12.406,1,0.0458,0.0,0.0987,0.282,108.107,162000,4,warm_fuzzy_feeling
Juke Ross,Chapter 2,Sophia,093KMwH96ZwZRZn2lKoX9Z,0.514,0.32,5,-11.937,1,0.0428,4.83e-05,0.115,0.14,115.312,231693,4,warm_fuzzy_feeling
Rajiv Dhall,84,84,3qePCADpvWQ38YCLxXBrdU,0.448,0.413,5,-7.411,1,0.0511,0.0,0.121,0.406,169.319,155729,4,warm_fuzzy_feeling
James Arthur,Falling Like The Stars,Falling Like The Stars,15xWRPHQMeqgdkGzInx3PY,0.296,0.351,6,-9.538,1,0.0351,1.5e-06,0.11,0.19,177.596,212720,3,warm_fuzzy_feeling
Dylan Dunlap,Who Would Have Thought,Who Would Have Thought,1ws2DVEGJD2d12aDm4zqic,0.42,0.43,11,-7.454,1,0.0298,0.0,0.26,0.323,140.962,244478,3,warm_fuzzy_feeling
Bruno Major,The Most Beautiful Thing,The Most Beautiful Thing,7EncNzyGs8uJiQittB38ef,0.806,0.362,7,-10.381,1,0.0345,0.045,0.111,0.42,127.502,235427,4,warm_fuzzy_feeling
Niall Horan,Put A Little Love On Me,Put A Little Love On Me,1hCTxutVVYvggAQcUUUZAT,0.584,0.465,10,-4.88,1,0.0262,0.0,0.106,0.299,95.969,224586,4,warm_fuzzy_feeling
Jake Scott,Favorite T-Shirt (Acoustic),Favorite T-Shirt (Acoustic),0sem2PTbwYJdCHoDn487TE,0.823,0.399,9,-8.608,1,0.0571,0.0,0.123,0.607,114.999,188442,4,warm_fuzzy_feeling
Emilee,Heaven,Heaven,24FprytnP9KMqH01aPR2N5,0.417,0.208,0,-11.307,1,0.0545,0.0,0.12,0.293,80.71,154763,4,warm_fuzzy_feeling
Taylor Swift,folklore,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,0.653,0.452,4,-11.143,0,0.055,7.73e-05,0.108,0.45,83.433,252881,4,warm_fuzzy_feeling
CAL,Dressed Up In White,Dressed Up In White,0MoupiG0cMvbfPV1nwZAry,0.735,0.422,3,-8.208,1,0.0733,0.0,0.208,0.399,146.062,203836,4,warm_fuzzy_feeling
Sigrid,Home To You,Home To You,0qBug5X3DaJv2zgXtp55wn,0.619,0.146,8,-14.439,1,0.0382,0.0,0.0971,0.288,139.533,221587,4,warm_fuzzy_feeling
Harry Styles,Fine Line,Cherry,2IOFZdYYkFxEHVz1w34PoL,0.53,0.512,7,-9.261,1,0.0259,0.00453,0.129,0.411,95.946,259187,4,warm_fuzzy_feeling
Forest Blakk,If You Love Her,If You Love Her,727Z2S2mtNH46CbP9EWPwY,0.286,0.445,6,-8.087,1,0.0347,0.0,0.114,0.278,50.827,217352,4,warm_fuzzy_feeling
JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,1,-10.086,1,0.129,0.0,0.109,0.604,75.801,208687,4,warm_fuzzy_feeling
A Great Big World,Fall On Me,Fall On Me,1sbNEp1zyMXQCXUHNllTaR,0.459,0.292,9,-6.235,1,0.0348,0.0,0.119,0.226,110.674,263054,4,warm_fuzzy_feeling
Dan + Shay,"10,000 Hours (with Justin Bieber) [Piano]","10,000 Hours (with Justin Bieber) - Piano",6HjF1gzVEZMb4GplnGl9B3,0.426,0.366,10,-6.514,1,0.0312,0.0,0.117,0.386,179.736,172320,4,warm_fuzzy_feeling
Tyler Ward,One More Time Around,One More Time Around,3DyhwZyBFedvnt68fMi6vf,0.429,0.358,0,-9.076,1,0.0346,0.0,0.0875,0.187,134.279,205667,4,warm_fuzzy_feeling
Tom Walker,Better Half of Me,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,0.576,0.453,3,-4.4,1,0.0294,0.0,0.267,0.418,107.89,195452,4,warm_fuzzy_feeling
Donovan Woods,The Other Way,I Ain't Ever Loved No One - Acoustic,3i8ZkeKgwu1t4m8SPPzNvv,0.32,0.223,10,-14.728,0,0.0329,0.0,0.106,0.158,160.626,199594,4,warm_fuzzy_feeling
